time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,2,2,0,0
2026-07-27 00:00:00+00:00,12,3,1,1
2026-07-28 00:00:00+00:00,6,6,0,0
2026-07-29 00:00:00+00:00,3,3,0,0
2026-07-30 00:00:00+00:00,6,1,0,0
2026-07-31 00:00:00+00:00,6,2,0,0
2026-08-01 00:00:00+00:00,8,3,0,0
2026-08-02 00:00:00+00:00,1,1,0,0
2026-08-03 00:00:00+00:00,18,8,0,0
2026-08-04 00:00:00+00:00,3,3,1,1
2026-08-05 00:00:00+00:00,24,10,0,0
2026-08-06 00:00:00+00:00,2,2,0,0
2026-08-07 00:00:00+00:00,8,3,0,0
2026-08-08 00:00:00+00:00,22,8,0,0
