time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,2,2,,
2025-11-26 00:00:00+00:00,2,2,,
2025-11-27 00:00:00+00:00,2,2,,
2025-11-28 00:00:00+00:00,2,2,,
2025-11-29 00:00:00+00:00,2,2,2.0,2.0
2025-11-30 00:00:00+00:00,4,4,,
2025-12-01 00:00:00+00:00,44,11,,
2025-12-02 00:00:00+00:00,36,9,,
2025-12-03 00:00:00+00:00,91,20,,
2025-12-04 00:00:00+00:00,7,3,1.0,1.0
2025-12-05 00:00:00+00:00,11,7,,
2025-12-06 00:00:00+00:00,11,7,,
2025-12-07 00:00:00+00:00,7,3,1.0,1.0
